region,Municipality,PM2.5,Distance to mines,Distance to roads,Precipitation,Temperature,Wind,Percentage of urban,Percentage of agriculture,Percentage of range land,Percentage forest,Percentage of barren land
Arica y Parinacota,Camarones,11.6,55.9,4.6,135.2,11.8,2.9,15.9,11.2,64.5,12.9,75.2
Valparaiso,Quintero,11.4,37.6,1.3,397.6,14.8,3.0,19.9,20.4,33.9,36.4,20.3
Tarapaca,Huara,11.3,57.1,4.3,125.3,13.5,3.0,19.9,12.5,45.9,13.7,80.6
Libertador General Bernardo O'Higgins,Navidad,11.3,52.3,0.7,571.0,15.8,3.1,12.5,28.3,30.2,47.6,13.7
Valparaiso,Olmue,11.2,19.4,1.5,402.7,13.8,2.5,25.8,21.8,42.0,47.3,15.9
Libertador General Bernardo O'Higgins,Litueche,11.0,43.9,1.8,555.9,15.4,2.7,12.8,32.0,36.1,47.6,14.7
Tarapaca,Iquique,11.0,16.3,3.2,283.1,16.9,4.0,18.7,11.1,15.8,12.7,91.5
Maule,Curico,11.0,86.6,9.5,914.0,9.3,3.0,21.6,39.1,26.7,41.2,44.0
Valparaiso,Catemu,11.0,7.0,3.8,319.7,13.6,2.6,13.2,40.5,46.5,39.2,11.9
Maule,Rauco,10.9,29.1,1.6,797.1,13.6,2.0,12.6,40.5,36.8,45.6,11.1
Valparaiso,Casablanca,10.9,23.0,1.4,549.7,14.6,2.7,15.6,28.8,36.3,48.3,19.2
Tarapaca,Pozo Almonte,10.6,22.8,8.8,165.7,15.3,3.2,27.3,11.3,44.4,21.0,85.8
Tarapaca,Colchane,10.6,59.4,3.2,180.4,4.5,3.4,11.8,13.5,87.3,15.4,27.5
Valparaiso,Nogales,10.5,10.7,3.4,388.3,14.0,2.7,23.9,33.7,34.8,48.7,12.2
Tarapaca,Camiña,10.4,63.9,4.6,101.6,11.8,2.8,0.0,13.1,69.4,11.1,69.5
Libertador General Bernardo O'Higgins,Marchihue,10.4,17.8,1.5,636.3,15.3,2.4,11.3,45.0,33.7,41.7,16.7
Tarapaca,Pica,9.9,35.8,5.8,102.6,6.8,3.7,22.8,12.9,83.4,16.2,48.8
Arica y Parinacota,Putre,9.9,32.7,3.1,253.0,4.2,3.0,24.7,15.5,79.4,16.5,31.1
Antofagasta,Maria Elena,9.8,21.7,15.4,212.2,15.4,3.7,14.8,11.1,37.6,11.1,99.6
Valparaiso,Putaendo,9.6,14.5,14.5,300.4,6.9,3.9,11.8,30.1,35.2,25.9,40.9
Antofagasta,Tocopilla,9.5,27.4,8.7,338.7,15.8,4.5,11.1,11.1,31.8,13.0,94.9
Maule,Sagrada Familia,9.5,44.3,1.7,815.2,13.7,2.0,14.1,43.6,32.1,46.4,11.3
Libertador General Bernardo O'Higgins,Pumanque,9.4,18.7,1.4,718.2,14.6,2.4,11.1,41.0,20.0,61.4,0.0
Biobio,Penco,9.4,275.7,0.9,1261.1,12.2,3.6,23.8,15.6,30.1,54.7,0.0
Valparaiso,Puchuncavi,9.4,30.1,1.3,394.7,14.8,3.0,21.0,20.7,44.0,45.0,12.1
Maule,Rio Claro,9.2,66.4,1.1,914.8,13.2,1.9,13.9,61.6,20.7,38.2,11.1
Antofagasta,Sierra Gorda,9.1,17.3,7.1,198.7,14.1,4.2,0.0,0.0,0.0,0.0,100.0
Biobio,Chiguayante,9.1,292.7,1.2,1346.4,12.4,3.4,29.7,12.7,24.7,56.7,12.6
Arica y Parinacota,General Lagos,9.0,63.4,2.9,295.8,5.3,2.8,11.1,11.5,78.6,22.5,27.7
Biobio,Concepcion,8.8,283.8,1.0,1336.9,12.3,3.4,22.2,13.9,29.3,59.5,14.2
Libertador General Bernardo O'Higgins,Pichilemu,8.8,37.9,2.6,649.6,14.5,3.1,17.6,27.7,20.6,66.7,12.8
Maule,Molina,8.8,98.2,14.5,904.6,8.5,3.2,14.5,40.2,22.6,41.9,63.1
Maule,San Rafael,8.7,65.4,1.3,814.9,13.8,1.9,13.7,70.8,30.1,28.1,0.0
Ñuble,Chillan Viejo,8.7,230.2,0.8,968.9,13.5,2.2,21.0,49.7,27.1,36.1,0.0
Libertador General Bernardo O'Higgins,Lolol,8.7,18.2,1.6,786.1,14.0,2.3,11.1,47.6,29.7,51.3,0.0
Antofagasta,Mejillones,8.5,20.7,6.6,403.8,16.5,4.5,0.0,0.0,24.9,11.1,94.7
Maule,Villa Alegre,8.2,108.3,0.5,861.6,13.9,1.9,15.4,78.3,18.6,19.1,0.0
Ñuble,Chillan,8.1,221.9,0.8,994.2,13.3,2.2,19.3,58.3,20.1,32.7,11.4
